ticker,auc_test,auc_train,acc_test,acc_train
SAP,0.4329060628742515,0.6970872899926954,0.5168195718654435,0.6085106382978723
RACE,0.5316753442397653,0.6688495066055449,0.4849246231155779,0.6363636363636364
DTE,0.5273696516249707,0.6960722990381364,0.4892966360856269,0.6228239845261122
AIR,0.4120044390019899,0.7134523559895755,0.4785932721712538,0.6189555125725339
ASML,0.5028817365269461,0.7033102932343012,0.5107033639143731,0.6456479690522243
SAN,0.5127463912510641,0.6783979689232711,0.5061162079510704,0.5562862669245648
NVDA,0.5201143964730921,0.7264019581709943,0.42660550458715596,0.6634429400386848
META,0.5193189964157706,0.6857796508688674,0.5025906735751295,0.5979020979020979
ELF,0.4019533668065204,0.7751169814531225,0.41595441595441596,0.6758922068463219
MDB,0.5950425563685232,0.7438581129603266,0.6335616438356164,0.6490765171503958
CRWD,0.6007352941176471,0.7578975548813136,0.6747572815533981,0.6830188679245283
MPC,0.6064772519641879,0.7109589618380124,0.5389507154213037,0.5907444668008048
MSFT,0.44899945083001747,0.677111131673915,0.5015290519877675,0.6
ZS,0.6022246941045606,0.7327804403175079,0.46096654275092935,0.542502387774594
TOL,0.534408996455201,0.6755419764606725,0.463302752293578,0.5264990328820116
DECK,0.5242213237496256,0.702545617977528,0.5458715596330275,0.6545454545454545
MTDR,0.5022660623833644,0.7179059363161369,0.42592592592592593,0.5784313725490197
LLY,0.5106685354164012,0.6953201765040735,0.6116207951070336,0.6680851063829787
XPO,0.46877367579246687,0.7390645274954692,0.5091743119266054,0.57678916827853
HUBS,0.5300365020192607,0.7329033078880408,0.5110132158590308,0.6455767077267637
NOW,0.558439836026043,0.6910078088315952,0.4965277777777778,0.656414762741652
OVV,0.4227487350862207,0.7977257299250411,0.4617737003058104,0.6317214700193423
MRO,0.38572383498854085,0.7324413714482785,0.41284403669724773,0.6796905222437137
LBRT,0.5542042904118168,0.709616892951804,0.6178571428571429,0.5321691176470589
GE,0.5217577972198105,0.6771597995992464,0.38837920489296635,0.5427466150870406
FERG,0.5474478792235802,0.8194821851698877,0.5283018867924528,0.5337726523887973
OLLI,0.5772024146387474,0.8071595545314202,0.5507246376811594,0.7250922509225092
EOG,0.4863819500402901,0.7341859184268533,0.45565749235474007,0.6669245647969052
FLS,0.5129534166164961,0.6988977889778898,0.5412844036697247,0.6371373307543521
AMAT,0.6059659386744672,0.7454331300401769,0.5275229357798165,0.6595744680851063
TJX,0.5934982439199872,0.6596256639263844,0.5443425076452599,0.6205029013539651
ANET,0.47716970702045336,0.7736589573946273,0.46284501061571126,0.6912715517241379
SUM,0.5814507333793317,0.7340447859765381,0.5720930232558139,0.654642223536369
ROST,0.513164909786462,0.7236947157736949,0.5061162079510704,0.6727272727272727
CRM,0.44272080838323347,0.7062127730580323,0.45871559633027525,0.6123791102514506
TTD,0.6727254927555149,0.8010639443475264,0.6239316239316239,0.7254187909686817
ETN,0.4725082441617875,0.6953118046785736,0.5443425076452599,0.6402321083172147
FANG,0.5246370885299529,0.6882884698954244,0.49107142857142855,0.6147578089633319
DINO,0.5270767716535434,0.702993466402925,0.4938837920489297,0.6460348162475822
PANW,0.4948490100822694,0.6609227241205397,0.48342059336823734,0.601237842617153
LULU,0.4510479041916168,0.6707775342715656,0.5107033639143731,0.6212765957446809
KLAC,0.5022423228944968,0.6592586596033942,0.5596330275229358,0.5957446808510638
WDAY,0.5173013923013924,0.6232151230226303,0.5303571428571429,0.5880488909008601
BLD,0.5541647491946617,0.7157875765032204,0.5611510791366906,0.6524390243902439
ADBE,0.5010071450288842,0.6159615446187341,0.5626911314984709,0.6112185686653772
UNH,0.5244209039548022,0.6056910269904241,0.5412844036697247,0.5775628626692456
AMGN,0.5120500519035995,0.6420853172266433,0.5091743119266054,0.6011605415860735
CAT,0.5171407185628742,0.6280770125082102,0.5107033639143731,0.55357833655706
WMT,0.49754237288135594,0.6138135593220339,0.5412844036697247,0.5508704061895551
TREX,0.5355244532355892,0.6418751133409901,0.5137614678899083,0.5918762088974855
BKR,0.6005196523053666,0.6155881720546352,0.591743119266055,0.5087040618955513
DT,0.3936148510811913,0.6983375648228176,0.57,0.538860103626943
REGN,0.5468288806478468,0.6076533436868633,0.5458715596330275,0.5400386847195358
OSK,0.468249252562978,0.6632798021982789,0.5275229357798165,0.6081237911025145
AEO,0.5599571534150973,0.6465309341618242,0.4969418960244648,0.4816247582205029
VMC,0.5493689468466407,0.6263350548156202,0.5779816513761468,0.5806576402321083
INTU,0.4668957671706878,0.629321123279623,0.5581039755351682,0.5876208897485493
SM,0.5768663194444444,0.7618101539968178,0.5825688073394495,0.5988394584139265
IR,0.4871322742260095,0.6523877453071674,0.5987261146496815,0.5807504078303426
LDOS,0.5517515923566879,0.6765063054366982,0.4801223241590214,0.5299806576402321
NBIX,0.6684297054817042,0.657435420340234,0.5397553516819572,0.5690522243713733
CNC,0.5590303755798294,0.7039200390053632,0.5672782874617737,0.6526112185686653
WMG,0.5691070817653097,0.6480377664393686,0.49673202614379086,0.5456110154905336
PSX,0.5744701488917988,0.6523042340776699,0.5623931623931624,0.5901213171577123
SKX,0.4557418508804796,0.6858066706711923,0.4694189602446483,0.6243713733075436
CME,0.6543142835742641,0.622957847937013,0.6253822629969419,0.6011605415860735
ICE,0.5805674793554602,0.5874314358830888,0.5305810397553516,0.5493230174081238
EQIX,0.49105881252046973,0.593537109911229,0.4877675840978593,0.57678916827853
FDX,0.4993265552365007,0.6427057902533808,0.5061162079510704,0.572147001934236
ABNB,0.7611194402798601,0.6762925421462007,0.4566929133858268,0.5387840670859538
SAIA,0.5653641928151731,0.7060743071997564,0.5581039755351682,0.6514506769825918
SNOW,0.5540540540540541,0.6905449087970447,0.4714285714285714,0.5473484848484849
GOOGL,0.5922683075766828,0.6361041380363415,0.5336391437308868,0.572147001934236
DHI,0.5331219897652018,0.651157776410336,0.5443425076452599,0.5965183752417795
DXCM,0.5124783605483554,0.6708662453444134,0.4847094801223242,0.5056092843326886
VRSK,0.5945870962804225,0.6398916235279871,0.5932721712538226,0.5531914893617021
URBN,0.5346675528180551,0.6711526879608998,0.5015290519877675,0.5218568665377176
CVS,0.5262339899632986,0.653490049882742,0.536697247706422,0.5945841392649903
WWD,0.4693999700733204,0.6539458939616977,0.48623853211009177,0.6123791102514506
COR,0.5176034004525101,0.6593330900849804,0.45871559633027525,0.5949709864603482
APTV,0.42092972501091225,0.6687552829706512,0.4240924092409241,0.6076794657762938
CMCSA,0.4428908355795148,0.5972752761247193,0.44954128440366975,0.5644100580270793
MUR,0.5764794478761534,0.6920353399221324,0.44495412844036697,0.6061895551257254
HUM,0.5101657189884783,0.5693737128048096,0.4984709480122324,0.5439071566731141
OLED,0.4718948746726524,0.6436105831569714,0.4923547400611621,0.5597678916827853
EMR,0.5432772157632493,0.6222875912741822,0.5137614678899083,0.5856866537717601
MAT,0.3851733303384247,0.6645015463861977,0.4036697247706422,0.6147001934235977
SLB,0.5051083953738821,0.620396489296504,0.4908256880733945,0.5261121856866537
ITT,0.5283898503822522,0.6555633558392682,0.5122324159021406,0.5500967117988395
DDOG,0.6544662309368192,0.6465681951793063,0.5595854922279793,0.5600539811066126
TW,0.5558880308880308,0.6547291474757081,0.6542056074766355,0.5750605326876513
STZ,0.442561751497006,0.63007094248691,0.4617737003058104,0.5972920696324951
TEAM,0.581495610367893,0.6321976830451407,0.46938775510204084,0.5785714285714286
CMG,0.4989808243998188,0.5630102644322457,0.5474006116207951,0.5497098646034816
NET,0.42946605141727096,0.7272186179394082,0.5751295336787565,0.6423751686909581
CHK,0.4734669811320755,0.619409866297833,0.5470085470085471,0.5489749430523918
MBLY,0.9272727272727274,0.865047233468286,0.37037037037037035,0.8181818181818182
DVN,0.3997174478311071,0.6462674032011475,0.5305810397553516,0.502127659574468
CDNS,0.47495439343265433,0.6286151003980734,0.4541284403669725,0.6030947775628627
AVGO,0.48627329672879127,0.6176848052377265,0.5902140672782875,0.5528046421663443
BSX,0.5413379911351514,0.6461083581859441,0.5152905198776758,0.5497098646034816
JAZZ,0.6400563909774437,0.6246406691306499,0.6162079510703364,0.5852998065764023
GD,0.6209227871939736,0.6129938265267298,0.5519877675840978,0.5632495164410058
AKAM,0.45361635220125784,0.6646006634932277,0.5137614678899083,0.5957446808510638
INFA,0.3840531561461794,0.694238683127572,0.44871794871794873,0.574468085106383
MDLZ,0.46872075104232647,0.5999574331078775,0.5259938837920489,0.5810444874274662
CDW,0.6015771301498127,0.6270584894946054,0.5869980879541109,0.5834141610087293
PODD,0.5921623643845866,0.6784372343217322,0.4954128440366973,0.6228239845261122
HAL,0.5437330674292595,0.6884154145565144,0.5382262996941896,0.5307543520309478
SYK,0.5428193261928677,0.6117940713292072,0.5305810397553516,0.5485493230174081
TT,0.5744631076591962,0.6357692541856926,0.5045871559633027,0.5268858800773695
TRGP,0.4548539222452266,0.71011934429861,0.5657492354740061,0.6560928433268859
MRVL,0.4495516850458621,0.6222277169631032,0.45871559633027525,0.5632495164410058
QRVO,0.46460003710039777,0.6759943225277787,0.4592760180995475,0.5933179723502304
NFLX,0.506229255404173,0.6883581299910326,0.4434250764525994,0.6189555125725339
THC,0.5062808077595802,0.7042977726207541,0.518348623853211,0.5988394584139265
VRTX,0.5458223693517812,0.6701670258620689,0.4541284403669725,0.5570599613152805
ROP,0.5516815219833721,0.6297784548432815,0.5565749235474006,0.5980657640232109
CVX,0.5500503717917966,0.5900584795321637,0.5764525993883792,0.5454545454545454
MMC,0.5510882394598933,0.5855135089729091,0.5489296636085627,0.5644100580270793
CACI,0.5933604907056235,0.6608322936419291,0.5626911314984709,0.6158607350096712
SHW,0.6218199700262271,0.6533032070829835,0.5198776758409785,0.5787234042553191
GPN,0.5836379344719879,0.6087545995043999,0.5,0.5849129593810445
Z,0.5789064157883568,0.7812293263954443,0.529126213592233,0.6045792079207921
LRCX,0.5274422467159897,0.6730588403510622,0.4908256880733945,0.6352030947775629
LEA,0.4917465513210194,0.6677168090099448,0.48623853211009177,0.6290135396518375
HWM,0.4137113402061856,0.6021813725490196,0.563953488372093,0.5548961424332344
MLM,0.47202160037399943,0.6186875356529941,0.43730886850152906,0.569825918762089
ELV,0.45301859612362494,0.6362503417894577,0.5076452599388379,0.5764023210831721
FIVN,0.5385808926080893,0.658457146120025,0.5427974947807933,0.5671087533156499
ON,0.5334969394375335,0.6408067514090419,0.4847094801223242,0.5852998065764023
MOH,0.5408065499520948,0.6419114645858344,0.555045871559633,0.5330754352030947
COST,0.5997950019523623,0.6086204184363693,0.6452599388379205,0.5729206963249517
RSG,0.46998320940273447,0.6014700177327315,0.4434250764525994,0.5179883945841393
MRK,0.5353219839951684,0.5815,0.5382262996941896,0.5292069632495164
VEEV,0.5052921560098593,0.6564458324589666,0.41106719367588934,0.618665328650276
PCAR,0.5724212202088308,0.6110116699372503,0.4908256880733945,0.5446808510638298
DLR,0.563812297430598,0.5968683709316632,0.5275229357798165,0.5179883945841393
APH,0.5937807462347688,0.6120531622364802,0.5535168195718655,0.6150870406189555
GXO,0.297883597883598,0.7871021083092187,0.6774193548387096,0.7214076246334311
BILL,0.298641975308642,0.6764543261175524,0.4444444444444444,0.5947901591895803
ULTA,0.5444626397791605,0.6321788823641206,0.481651376146789,0.5365570599613153
DE,0.5065131578947368,0.6369302492855488,0.5351681957186545,0.6081237911025145
KO,0.3823801730184709,0.5717402071819033,0.5030581039755352,0.5473887814313346
FI,0.5745197740112995,0.6416060594595452,0.6039755351681957,0.602321083172147
ZTS,0.41695261437908504,0.6360342561891735,0.4696132596685083,0.596171802054155
ADSK,0.5031924971580144,0.6423908868281417,0.5611620795107034,0.5988394584139265
AMD,0.5414312617702448,0.672723490445277,0.573394495412844,0.5493230174081238
BDX,0.5849587396849212,0.5842427818538556,0.5795107033639144,0.5624758220502901
PG,0.4805517607771706,0.6407316559357452,0.4801223241590214,0.5980657640232109
LHX,0.5764889061891787,0.6363911117998139,0.5795107033639144,0.5996131528046421
OKE,0.5325801366263795,0.6403006173803274,0.5091743119266054,0.5988394584139265
PEG,0.5753136313883978,0.5903523374895654,0.5091743119266054,0.5566731141199226
ABBV,0.5676949786324786,0.6075158328655507,0.5054744525547445,0.5591497227356746
PLTR,0.48220973782771537,0.6843633968139897,0.44525547445255476,0.6305609284332688
SFM,0.4885235047450894,0.6511282853975087,0.3969171483622351,0.6014669926650367
